Candidate,Party,Race,JurisdictionName ,County,Votes
Brian Hatfield,(Prefers Democratic Party),Legislative District 19 State Senator,Legislative District 19,Wahkiakum,1366
Rick Winsman,(Prefers Republican Party),Legislative District 19 State Senator,Legislative District 19,Wahkiakum,861
Dean Takko,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Wahkiakum,1265
Dixie Kolditz,(Prefers Republican Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Wahkiakum,1002
Brian E. Blake,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Wahkiakum,1192
Tim Sutinen,(Prefers Independent Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Wahkiakum,1010
Greg Prestegard,(Prefers Dem Party),WAHKIAKUM COUNTY Commissioner #1,WAHKIAKUM COUNTY,Wahkiakum,1093
Mike Backman,(Prefers Ind  Party),WAHKIAKUM COUNTY Commissioner #1,WAHKIAKUM COUNTY,Wahkiakum,1116
Joan Harvey-Chester,(Prefers Ind Party),WAHKIAKUM COUNTY Commissioner #2,WAHKIAKUM COUNTY,Wahkiakum,743
Dan L. Cothren,(Prefers Independent Party),WAHKIAKUM COUNTY Commissioner #2,WAHKIAKUM COUNTY,Wahkiakum,1427
Tammy Peterson,(Prefers Democratic  Party),WAHKIAKUM COUNTY County Treasurer,WAHKIAKUM COUNTY,Wahkiakum,1240
Marlena G. Silva,(Prefers Democratic  Party),WAHKIAKUM COUNTY County Treasurer,WAHKIAKUM COUNTY,Wahkiakum,857
Susan Owens,1348,Supreme Court Justice Position 2,,Wahkiakum,100
Steve Gonzalez,1322,Supreme Court Justice Position 8,,Wahkiakum,100
Sheryl Gordon McCloud,866,Supreme Court Justice Position 9,,Wahkiakum,52.8694
Richard B. Sanders,772,Supreme Court Justice Position 9,,Wahkiakum,47.1306
 Division 2, District 3 Judge Position 1,Court of Appeals,100,Wahkiakum,Joel Penoyar
 Wahkiakum Superior Court Judge Position 1,Mike Sullivan,Pacific,Pacific,Wahkiakum,1301
 Wahkiakum Superior Court Judge Position 1,Dennis Gordon,Pacific,Pacific,Wahkiakum,631
Lisa Marsyla,877,PUBLIC UTILITY DISTRICT COUNTYWIDE Commissioner #1,,Wahkiakum,40.7339
Gene Healy,1276,PUBLIC UTILITY DISTRICT COUNTYWIDE Commissioner #1,,Wahkiakum,59.2661
Robert L. Jungers,1479,PUBLIC UTILITY DISTRICT COUNTYWIDE Commissioner #2,,Wahkiakum,100
Approved,485,FIRE PROTECT DIST 4 Special Election - Proposition # 1  BONDS TO REMODEL THE ELOCHOMAN FIRE STATION AND ACQUIRE FIREFIGHTING AND LIFE SAVING EQUIPMENT,,Wahkiakum,63.3987
Rejected,280,FIRE PROTECT DIST 4 Special Election - Proposition # 1  BONDS TO REMODEL THE ELOCHOMAN FIRE STATION AND ACQUIRE FIREFIGHTING AND LIFE SAVING EQUIPMENT,,Wahkiakum,36.6013
Yes,16753,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Walla Walla,69.9937
No,7182,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Walla Walla,30.0063
Yes,12164,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Walla Walla,49.7627
No,12280,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Walla Walla,50.2373
Approved,9894,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Walla Walla,39.6553
Rejected,15056,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Walla Walla,60.3447
Yes,11213,Statewide Initiative Measure No. 502 Concerns marijuana,,Walla Walla,44.9581
No,13728,Statewide Initiative Measure No. 502 Concerns marijuana,,Walla Walla,55.0419
Approved,14648,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Walla Walla,64.5485
Rejected,8045,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Walla Walla,35.4515
Approved,9281,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Walla Walla,40.115
Rejected,13855,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Walla Walla,59.885
Repealed,13877,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Walla Walla,62.789
Maintained,8224,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Walla Walla,37.211
Repealed,13159,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Walla Walla,60.4372
Maintained,8614,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Walla Walla,39.5628
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Walla Walla,9768
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Walla Walla,14648
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Walla Walla,398
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Walla Walla,71
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Walla Walla,154
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Walla Walla,12
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Walla Walla,12
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Walla Walla,45
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Walla Walla,11464
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Walla Walla,13217
Doc Hastings,(Prefers Republican Party),Congressional District 4 U.S. Representative,Congressional District 4,Walla Walla,1697
Mary Baechler,(Prefers Democratic Party),Congressional District 4 U.S. Representative,Congressional District 4,Walla Walla,495
Cathy McMorris Rodgers,(Prefers Republican Party),Congressional District 5 U.S. Representative,Congressional District 5,Walla Walla,13660
Rich Cowan,(Prefers Democratic Party),Congressional District 5 U.S. Representative,Congressional District 5,Walla Walla,8542
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Walla Walla,9353
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Walla Walla,15238
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Walla Walla,9684
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Walla Walla,13892
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Walla Walla,15092
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Walla Walla,8268
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Walla Walla,10532
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Walla Walla,12701
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Walla Walla,14504
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Walla Walla,8533
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Walla Walla,8358
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Walla Walla,15149
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Walla Walla,9697
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Walla Walla,13747
Randy I. Dorn,17309,Washington State Superintendent of Public Instruction,,Walla Walla,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Walla Walla,9611
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Walla Walla,13268
Mike Hewitt,(Prefers Republican Party),Legislative District 16 State Senator,Legislative District 16,Walla Walla,17049
Scott Nettles,(Prefers Democratic Party),Legislative District 16 State Senator,Legislative District 16,Walla Walla,6953
Maureen Walsh,(Prefers Republican Party),Legislative District 16 State Representative Pos. 1,Legislative District 16,Walla Walla,14044
Mary Ruth Edwards,(Prefers Republican Party),Legislative District 16 State Representative Pos. 1,Legislative District 16,Walla Walla,9013
Terry R. Nealey,(Prefers Republican Party),Legislative District 16 State Representative Pos. 2,Legislative District 16,Walla Walla,18958
Jim Johnson,(Prefers Republican Party),County-Wide Commissioner 1,County-Wide,Walla Walla,15025
Mark Spinks,(Prefers Republican Party),County-Wide Commissioner 1,County-Wide,Walla Walla,4990
Perry L. Dozier,(Prefers Republican Party),County-Wide Commissioner 2,County-Wide,Walla Walla,12823
Chris Blackman,(Prefers Republican Party),County-Wide Commissioner 2,County-Wide,Walla Walla,7798
Susan Owens,16986,Supreme Court Justice Position 2,,Walla Walla,100
Steve Gonzalez,16688,Supreme Court Justice Position 8,,Walla Walla,100
Sheryl Gordon McCloud,9588,Supreme Court Justice Position 9,,Walla Walla,49.2982
Richard B. Sanders,9861,Supreme Court Justice Position 9,,Walla Walla,50.7018
John W. Lohrmann,17966,Walla Walla  Superior Court Judge Position 1,,Walla Walla,100
 Prsctt Prescott Joint Park & Recreation District - Proposition 1 Maintenance & Operation Excess Levy,Levy  Yes,Parks and Rec.,Parks and Rec.,Walla Walla,227
 Prsctt Prescott Joint Park & Recreation District - Proposition 1 Maintenance & Operation Excess Levy,Levy  No,Parks and Rec.,Parks and Rec.,Walla Walla,122
Yes,58529,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Whatcom,60.4189
No,38343,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Whatcom,39.5811
Yes,48109,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Whatcom,48.498
No,51089,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Whatcom,51.502
Approved,55788,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Whatcom,55.0786
Rejected,45500,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Whatcom,44.9214
Yes,57851,Statewide Initiative Measure No. 502 Concerns marijuana,,Whatcom,56.8504
No,43909,Statewide Initiative Measure No. 502 Concerns marijuana,,Whatcom,43.1496
Approved,59173,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Whatcom,66.3679
Rejected,29986,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Whatcom,33.6321
Approved,45025,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Whatcom,48.9892
Rejected,46883,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Whatcom,51.0108
Repealed,46979,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Whatcom,55.1895
Maintained,38144,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Whatcom,44.8105
Repealed,45477,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Whatcom,53.921
Maintained,38863,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Whatcom,46.079
 Washington, Proposition No. 1,Port of Bellingham All Port of Bellingham,44198,Whatcom, Number of Port Commissioners Number of Port Commissioners
 Washington, Proposition No. 1,Port of Bellingham All Port of Bellingham,45656,Whatcom, Number of Port Commissioners Number of Port Commissioners
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Whatcom,57089
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Whatcom,42703
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Whatcom,1383
